No;Title;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
266;QUANTUM HETEROSTRUCTURES, RELATED DEVICES AND METHODS FOR MANUFACTURING THE SAME;"MOUTANABBIR OUSSAMA [CA] 
ASSALI SIMONE [CA] 
ATTIAOUI ANIS [CA] 
DEL VECCHIO PATRICK [CA]";"MOUTANABBIR OUSSAMA [CA] 
ASSALI SIMONE [CA] 
ATTIAOUI ANIS [CA] 
DEL VECCHIO PATRICK [CA]";WO2020243831A1;2019-06-03;"H01L21/98 
H01L29/15 
H01L29/16";"B82Y10/00 (EP) 
H01L29/127 (EP) 
H01L29/15 (EP) 
H01L29/16 (EP) 
H01L29/66439 (EP) 
H01L29/66977 (EP) 
H01L33/0054 (EP) 
H01L33/12 (EP) 
H01L33/34 (EP)";2020-12-10;2020-12-10;073651917
267;SYSTEMS AND METHODS FOR IMPROVING THE PERFORMANCE OF A QUANTUM PROCESSOR TO REDUCE INTRINSIC/CONTROL ERRORS;"LANTING TREVOR MICHAEL [CA] 
KING ANDREW [CA]";"D-WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC [CA]";"US10552755B2 
US2017017894A1";2014-08-22;"G06N99/00 
G06F15/82 
G06N10/00 
H01L27/18";"G06F15/82 (US) 
G06N10/00 (EP,US)";"2017-01-19 
2020-02-04";2017-01-19;057775106
268;SYSTEMS AND METHODS FOR HYBRID QUANTUM-CLASSICAL COMPUTING;"MCGEOCH CATHERINE [US] 
BERNOUDY WILLIAM W [CA]";D-WAVE SYSTEMS INC [CA];US2020257987A1;2019-02-08;"G06F15/163 
G06F17/18 
G06N10/00 
G06N5/00";"G06F15/163 (US) 
G06F17/18 (US) 
G06N10/00 (EP,US) 
G06N5/003 (EP,US)";2020-08-13;2020-08-13;071945269
269;BINDING OF MULTIPLE HETEROGENEOUS ROOT CERTIFICATE AUTHORITIES;"OUNSWORTH MICHAEL [CA] 
GRAY JOHN ROBERT [CA] 
MISTER SERGE JEAN MAURICE [CA]";ENTRUST INC [US];US2022060341A1;2020-08-18;"H04L9/08 
H04L9/32";"H04L9/0861 (EP,US) 
H04L9/3249 (EP,US) 
H04L9/3268 (EP,US)";2022-02-24;2022-02-24;080269039
270;SYSTEMS, METHODS AND APPARATUS FOR ACTIVE COMPENSATION OF QUANTUM PROCESSOR ELEMENTS;"HARRIS RICHARD [CA] 
BERKLEY ANDREW [CA] 
JOHANSSON JAN [CA] 
JOHNSON MARK [CA] 
BUNYK PAUL [CA] 
AMIN MOHAMMAD [CA]";"D-WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC [CA]";"CA2976901A1 
CA2976901C";2008-09-03;"G06N99/00 
H01L39/10 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (US) 
H01L39/223 (US)";"2010-03-11 
2019-02-26";2010-03-11;041797864
271;SYSTEMS AND METHODS FOR HIGH AVAILABILITY, FAILOVER AND LOAD BALANCING OF HETEROGENEOUS RESOURCES;STEVANOVIC RADOMIR [CA];D WAVE SYSTEMS INC [CA];US2021056003A1;2019-08-20;"G06F11/20 
G06F9/48 
G06F9/50 
G06F9/54 
G06N10/00";"G06F11/2028 (EP,US) 
G06F11/2035 (EP) 
G06F11/2048 (EP) 
G06F9/4843 (US) 
G06F9/505 (EP,US) 
G06F9/541 (US) 
G06N10/00 (EP,US) 
G06F2201/805 (US) 
Y02D10/00 (EP)";2021-02-25;2021-02-25;074646831
272;USING A MESOSCOPIC SYSTEM TO GENERATE ENTANGLEMENT;"MIRKAMALI MARYAM SADAT [CA] 
CORY DAVID G [CA]";QUANTUM VALLEY INVEST FUND LP [CA];WO2016041056A1;2014-09-16;"B82Y10/00 
B82Y15/00 
G06N99/00";"G01R33/326 (US) 
G01R33/60 (US) 
G06N10/00 (EP,US)";2016-03-24;2016-03-24;055532375
273;SYSTEMS, DEVICES, ARTICLES, AND METHODS TO INTERACT WITH INFORMATION STORED IN BOUND-EXCITON STATES ASSOCIATED WITH LUMINESCENT SILICON DEFECTS;"SIMMONS STEPHANIE [CA] 
THEWALT MICHAEL L W [CA]";PHOTONIC INC [CA];WO2021022375A1;2019-08-06;"G06J1/00 
G06N10/00 
H01L29/04 
H01L31/173";"G06N10/00 (EP) 
H01L29/04 (EP) 
H01L29/122 (EP)";2021-02-11;2021-02-11;074502390
274;Light-emitting diode (LED) driver and controller;"ZHANG WANFENG [CA] 
LIN JIANQING [US] 
DAI SHAO-AN [CN] 
DAI SHAOAN [CN]";MARVELL WORLD TRADE LTD [BB];"TW201023684A 
TWI494023B";2008-08-28;H05B37/02;"H05B45/10 (EP,US) 
H05B45/385 (EP,US)";"2010-06-16 
2015-07-21";2010-04-01;042056690
275;SYSTEMS, DEVICES, AND METHODS FOR CONTROLLABLY COUPLING QUBITS;HARRIS RICHARD G [CA];;US2008238531A1;2007-01-23;"G06N99/00 
H03K3/38";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";2008-10-02;2008-07-31;039644053
276;Conversion schemes for cryptography systems;"SIMMONS SEAN [CA] 
SUI JIAYUAN [CA]";ISARA CORP [CA];US9614668B1;2016-09-14;"G06F21/72 
H04L29/06 
H04L9/06 
H04L9/14 
H04L9/28 
H04L9/30";"G06F21/72 (US) 
H04L63/0428 (US) 
H04L9/0662 (EP,US) 
H04L9/0852 (EP,US) 
H04L9/14 (EP,US) 
H04L9/304 (EP)";2017-04-04;2017-04-04;058419570
277;KEY GENERATION FOR USE IN SECURED COMMUNICATION;"LO HOI-KWONG [CA] 
MONTAGNA MATTIA [IT]";GOVERNING COUNCIL UNIV TORONTO [CA];WO2021062537A1;2019-09-30;"G06F21/62 
H04L9/08 
H04L9/30 
H04L9/32";"G06F16/2282 (US) 
H04L63/0435 (GB) 
H04L63/062 (GB) 
H04L63/067 (GB) 
H04L9/0656 (EP,GB) 
H04L9/0827 (GB) 
H04L9/083 (EP) 
H04L9/0838 (EP,GB) 
H04L9/0852 (EP,US) 
H04L9/0866 (US) 
H04L9/0869 (GB,US) 
H04L9/321 (US)";2021-04-08;2021-03-30;069171971
278;METHODS FOR SOLVING COMPUTATIONAL PROBLEMS USING A QUANTUM PROCESSOR;MACREADY WILLIAM G [CA];"MACREADY WILLIAM G [CA] 
DWAVE SYS INC [CA]";"US2014025606A1 
US8977576B2";2010-11-19;G06N99/00;"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G06N5/003 (EP,US)";"2014-01-23 
2015-03-10";2014-01-23;049947408
279;Processing batches of point evaluations in a supersingular isogeny-based cryptosystem;"DE QUEHEN VICTORIA [CA] 
KELLY SHANE DANIEL [CA]";ISARA CORP [CA];US10805081B1;2020-04-30;H04L9/30;"H04L9/0844 (EP) 
H04L9/3013 (US) 
H04L9/3066 (EP,US)";2020-10-13;2020-10-13;072749902
280;SYSTEMS, DEVICES, AND METHODS FOR CONTROLLABLY COUPLING QUBITS;"JOHANSSON JAN [CA] 
BERKLEY ANDREW J [CA]";"JOHANSSON JAN [CA] 
BERKLEY ANDREW J [CA] 
DWAVE SYS INC [CA]";"US2009192041A1 
US8102185B2";2008-01-28;"H01L39/02 
G06N99/00 
H03K19/195 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2009-07-30 
2012-01-24";2009-07-30;040899844
281;SYSTEMS AND METHODS FOR IMPLEMENTING FINITE ELEMENT MODELLING;HARRIS RICHARD G [CA];D WAVE SYSTEMS INC [CA];US2021304050A1;2020-03-26;"G06F17/14 
G06F17/16 
G06F30/23 
G06N10/00";"G06F17/14 (US) 
G06F17/16 (US) 
G06F30/23 (EP,US) 
G06N10/00 (US) 
G06N10/60 (EP) 
G06N5/003 (EP)";2021-09-30;2021-09-30;077856113
282;Using cryptographic co-processors in a supersingular isogeny-based cryptosystem;"DE QUEHEN VICTORIA [CA] 
KELLY SHANE DANIEL [CA]";ISARA CORP [CA];US10812265B1;2020-04-30;H04L9/30;"H04L9/3013 (US) 
H04L9/3066 (EP,US)";2020-10-20;2020-10-20;072838590
283;SYSTEMS AND METHODS FOR CALCULATING THE GROUND STATE OF NON-DIAGONAL HAMILTONIANS;OZFIDAN A ISIL [CA];D WAVE SYSTEMS INC [CA];US2019324943A1;2018-04-24;"G06F15/82 
G06N10/00";"G06F15/82 (US) 
G06N10/00 (EP,US) 
G06N5/003 (EP)";2019-10-24;2019-10-24;068236935
284;METHOD AND SYSTEM FOR KEY GENERATION;"LO HOI-KWONG [CA] 
MONTAGNA MATTIA [IT]";GOVERNING COUNCIL UNIV TORONTO [CA];US2022103355A1;2019-09-30;"H04L9/06 
H04L9/08 
H04L9/32";"H04L9/0656 (EP,US) 
H04L9/0861 (EP,US) 
H04L9/3242 (EP,US)";2022-03-31;2022-03-31;080821780
285;Managing nodes of a cryptographic hash tree in a hash-based digital signature scheme;PARUZEL MAREK [CA];ISARA CORP [CA];US10581616B1;2019-07-11;"H04L9/06 
H04L9/32";"H04L9/0643 (EP,US) 
H04L9/3247 (EP,US)";2020-03-03;2020-03-03;069645809
286;Traversing a zigzag path tree topology in a supersingular isogeny-based cryptosystem;"DE QUEHEN VICTORIA [CA] 
KELLY SHANE DANIEL [CA]";ISARA CORP [CA];US10812264B1;2020-04-30;H04L9/30;"H04L9/3013 (US) 
H04L9/3066 (EP,US)";2020-10-20;2020-10-20;072838576
287;KEY GENERATION FOR USE IN SECURED COMMUNICATION;"LO HOI-KWONG [CA] 
MONTAGNA MATTIA [IT]";GOVERNING COUNCIL UNIV TORONTO [CA];CA3107237A1;2019-09-30;"G06F21/62 
H04L9/08 
H04L9/30 
H04L9/32";;2021-03-30;2021-03-30;075273334
288;APPARATUS AND METHODS FOR GENERATING NON-GAUSSIAN STATES FROM GAUSSIAN STATES;"SABAPATHY KRISHNA KUMAR [CA] 
QI HAOYU [CA] 
IZAA JOSH [CA] 
WEEDBROOK CHRISTIAN [CA] 
SU DAIQIN [CA] 
MYERS CASEY [CA]";XANADU QUANTUM TECH INC [CA];CA3055860A1;2019-09-12;"G02B27/10 
G02B6/14 
G02F1/35 
G06E3/00 
G06N10/00";"G02F1/35 (EP) 
G06N10/00 (EP) 
G02B6/14 (EP) 
G02B6/29352 (EP) 
G02B6/29395 (EP) 
G06N20/00 (EP)";2021-03-12;2021-03-12;074865537
289;Merkle signature scheme using subtrees;"BROWN MICHAEL KENNETH [CA] 
HU ANTHONY CHUN LI [CA] 
PARUZEL MAREK [CA] 
YAMADA ATSUSHI [CA]";ISARA CORP [CA];US10116450B1;2016-11-02;H04L9/32;"H04L9/3239 (EP,US) 
H04L9/3247 (EP,US) 
H04L9/3228 (EP,US)";2018-10-30;2018-10-30;063895172
290;METHODS, SYSTEMS, AND APPARATUS FOR ENABLING AND MANAGING QUANTUM NETWORKS;"WANG CHONGGANG [US] 
RAHMAN SHAMIN [CA]";IDAC HOLDINGS INC [US];WO2021016095A1;2019-07-19;"G06N10/00 
H04B10/70 
H04L9/08";"G06N10/00 (EP) 
H04B10/70 (EP) 
H04L9/0855 (EP)";2021-01-28;2021-01-28;072050919
291;METHODS FOR THE GRAPHICAL REPRESENTATION OF GENOMIC SEQUENCE DATA;KAYE ALICE [CA];THE UNIV OF BRITISH COLUMIBA [CA];CA2930597A1;2015-05-22;"G06F19/10 
G16B45/00 
C12Q1/68";"G06T11/206 (EP,US) 
G16B20/00 (EP,US) 
G16B20/10 (EP,US) 
G16B20/20 (EP,US) 
G16B20/40 (EP,US) 
G16B30/00 (EP,US) 
G16B30/20 (EP,US)";2016-11-22;2016-11-22;057324578
292;SYSTEMS AND METHODS FOR REDUCING ERRORS IN CALIBRATED DEVICES;"BERKLEY ANDREW J [CA] 
HARRIS RICHARD G [CA]";D WAVE SYSTEMS INC [CA];"US11182230B2 
US2020183768A1";2018-12-11;"G06N10/00 
G06F11/00";"G06F11/004 (US) 
G06N10/00 (EP) 
G06F2201/81 (US)";"2020-06-11 
2021-11-23";2020-06-11;070971943
293;METHOD AND SYSTEM FOR SOLVING INTEGER PROGRAMMING AND DISCRETE OPTIMIZATION PROBLEMS USING ANALOG PROCESSORS;MACREADY WILLIAM [CA];DWAVE SYS INC [CA];"US2008065573A1 
US7877333B2";2006-09-06;"G06N7/00 
G06N99/00 
G06E1/00 
G06E3/00 
G06F15/00 
G06F9/44 
G06G7/00 
G06N7/02 
G06N7/06";G06N7/08 (EP);"2008-03-13 
2011-01-25";2008-03-13;039156775
294;SYSTEMS AND METHODS FOR TESTING AND PACKAGING A SUPERCONDUCTING CHIP;BUNYK PAUL I [CA];"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"US2014246763A1 
US9865648B2";2012-12-17;"H01L21/66 
H01L39/02 
H01L39/24 
H01L27/18 
H01L23/00 
H01L39/04 
G01R31/28 
H01L39/24";"H01L24/05 (EP,US) 
H01L24/13 (EP,US) 
H01L27/18 (EP,US) 
H01L39/045 (EP,US) 
G01R31/2884 (EP,US) 
G01R31/2891 (EP,US) 
H01L2224/0401 (EP,US) 
H01L2224/05008 (EP,US) 
H01L2224/05023 (EP,US) 
H01L2224/05179 (EP,US) 
H01L2224/05548 (EP,US) 
H01L2224/05568 (EP,US) 
H01L2224/05573 (EP,US) 
H01L2224/05611 (EP,US) 
H01L2224/13007 (EP,US) 
H01L2224/13111 (EP,US) 
H01L2224/13116 (EP,US) 
H01L2224/13144 (EP,US) 
H01L2224/13147 (EP,US) 
H01L2224/13163 (EP,US) 
H01L2224/13176 (EP,US) 
H01L2224/13183 (EP,US) 
H01L2224/13562 (EP,US) 
H01L2224/1357 (EP,US) 
H01L2224/13582 (EP,US) 
H01L2224/136 (EP,US) 
H01L2224/13611 (EP,US) 
H01L2224/16238 (EP,US) 
H01L2224/81191 (EP,US) 
H01L2224/81192 (EP,US) 
H01L2224/81815 (EP,US) 
H01L2224/97 (EP,US) 
H01L24/81 (EP,US) 
H01L2924/15787 (EP,US) 
H01L2924/35121 (EP,US) 
H01L39/24 (US) 
H01L2224/05179, H01L2924/00014, ADD (EP,US)       
H01L2224/05611, H01L2924/00014, ADD (EP,US)       
H01L2224/13111, H01L2924/00014, ADD (EP,US)       
H01L2224/13116, H01L2924/00014, ADD (EP,US)       
H01L2224/13144, H01L2924/00014, ADD (EP,US)       
H01L2224/13147, H01L2924/00014, ADD (EP,US)       
H01L2224/13163, H01L2924/01076, ADD (EP,US)       
H01L2224/13176, H01L2924/00014, ADD (EP,US)       
H01L2224/13183, H01L2924/00014, ADD (EP,US)       
H01L2224/136, H01L2924/014, ADD (EP,US)       
H01L2224/13611, H01L2924/00014, ADD (EP,US)       
H01L2224/81815, H01L2924/00014, ADD (EP,US)       
H01L2224/97, H01L2224/81, ADD (EP,US)       
H01L2924/15787, H01L2924/00, ADD (EP,US)      ";"2014-09-04 
2018-01-09";2014-09-04;051420580
295;Conversion schemes for public key cryptosystems;"EATON EDWARD WILLIAM [CA] 
YAMADA ATSUSHI [CA] 
KALACH KASSEM [CA]";ISARA CORP [CA];US10061636B1;2017-12-22;"G06F11/07 
H04L29/06 
H04L9/06";"G06F11/0709 (US) 
G06F11/0784 (US) 
G06F21/00 (US) 
G06F21/606 (EP,US) 
G06F21/72 (EP,US) 
H04L63/0428 (EP,US) 
H04L9/0618 (US) 
H04L9/0861 (EP,US) 
H04L9/304 (EP,US) 
G06F2221/2107 (EP,US)";2018-08-28;2018-08-28;063209002
296;SYSTEMS AND METHODS FOR OPERATION OF A FREQUENCY MULTIPLEXED RESONATOR INPUT AND/OR OUTPUT FOR A SUPERCONDUCTING DEVICE;"WHITTAKER JED D [CA] 
SWENSON LOREN J [CA] 
PERMINOV ILYA V [CA] 
EVERT ABRAHAM J [CA] 
SPEAR PETER D [CA] 
VOLKMANN MARK H [CA] 
AZNAR CATIA BARON [CA] 
BABCOCK MICHAEL S [CA]";"D WAVE SYSTEMS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"WO2020112185A2 
WO2020112185A3";2018-08-31;"H03B15/00 
H01L39/22 
H01P7/08 
H01P7/10 
H03H7/01";"G01R33/0358 (US) 
G06N10/00 (US) 
H01L27/18 (US) 
H03B15/00 (EP) 
H03F19/00 (US)";"2020-06-04 
2020-08-06";2020-06-04;070853427
297;Using conversion schemes in public key cryptosystems;"EATON EDWARD WILLIAM 
YAMADA ATSUSHI 
KALACH KASSEM";ISARA CORP;US10031795B1;2017-12-22;"G06F11/07 
H04L29/06 
H04L9/06 
H04L9/30 
H04L9/32";"G06F11/0709 (US) 
G06F11/0784 (US) 
G06F21/53 (EP) 
G06F21/602 (EP) 
H04L63/0428 (US) 
H04L63/0442 (EP) 
H04L9/002 (EP) 
H04L9/0618 (US) 
H04L9/30 (US) 
H04L9/304 (EP) 
H04L9/3242 (US)";2018-07-24;2018-07-24;062874306
298;SYSTEMS AND METHODS THAT FORMULATE EMBEDDINGS OF PROBLEMS FOR SOLVING BY A QUANTUM PROCESSOR;ROY AIDAN PATRICK [CA];"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"US2014250288A1 
US9501747B2";2012-12-18;"G06F9/30 
B82Y10/00 
G06N99/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G06N20/00 (EP,US) 
G06N5/003 (US)";"2014-09-04 
2016-11-22";2014-09-04;051421629
299;SYSTEMS AND DEVICES FOR QUANTUM PROCESSOR ARCHITECTURES;KING ANDREW DOUGLAS [CA];"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"US2016012347A1 
US9547826B2";2013-08-07;"G06F15/76 
G06N99/00 
H03K19/195";"G06F15/76 (US) 
G06N10/00 (EP,US) 
H03K19/195 (EP,US)";"2016-01-14 
2017-01-17";2015-02-12;052449647
300;Fast all-optical switch;"MOISEEV SERGEY [CA] 
KAMLI ALI [SA] 
SANDERS BARRY [CA]";"UTI LIMITED PARTNERSHIP [CA] 
MOISEEV SERGEY [SA] 
KAMLI ALI [CA] 
SANDERS BARRY [CA] 
UTI LIMITED PARTNERSHIP";"US2011075239A1 
US8264759B2";2009-05-12;G02F1/01;"G02F1/3515 (EP,US) 
G02F1/3511 (EP,US) 
G02F2202/30 (EP,US)";"2011-03-31 
2012-09-11";2011-03-31;043780089
301;OPTIMIZING MEMORY BANDWIDTH CONSUMPTION USING DATA SPLITTING WITH SOFTWARE CACHING;"BARTON CHRISTOPHER M [CA] 
CUI SHIMIN [CA] 
SADASIVAM SATISH K [IN] 
SILVERA RAUL E [CA] 
VALLURI MAHAVI G [US] 
WHITE STEVEN W [US]";IBM [US];"US2015067260A1 
US9104577B2";2013-08-27;"G06F12/08 
G06F9/45";"G06F12/0837 (US) 
G06F8/41 (US) 
G06F8/4442 (EP) 
G06F12/0875 (EP,US) 
G06F2212/1044 (EP,US)";"2015-03-05 
2015-08-11";2015-03-05;052584908
302;Systems and methods for providing signatures;"PAYA ISMAIL C [US] 
MONTGOMERY PETER L [US] 
BACK ADAM [CA] 
PAYA ISMAIL CEM [US]";MICROSOFT CORP [US];"US2006242417A1 
US7584362B2";2005-04-22;"H04L9/00 
H04L9/14 
H04L9/32";"G06F21/64 (EP,US) 
H04L51/04 (EP,US) 
H04L51/212 (EP,US) 
H04L63/12 (EP,US) 
H04L9/3247 (EP,US)";"2006-10-26 
2009-09-01";2006-10-26;037188464
303;MULTIPLE SILICON ATOM QUANTUM DOT AND DEVICES INCLUSIVE THEREOF;"WOLKOW ROBERT A [CA] 
ACHAI ROSHAN [CA] 
HUFF TALEANA [CA] 
LABIDI HATEM [CA] 
LIVADARU LUCIAN [CA] 
PIVA PAUL [CA] 
RASHIDI MOHAMMAD [CA]";QUANTUM SILICON INC [CA];"WO2018015809A2 
WO2018015809A3";2016-07-19;"B82B1/00 
B82B3/00 
B82Y20/00 
H01L33/06";"B82Y10/00 (EP) 
B82Y30/00 (EP) 
C01B33/00 (EP,KR) 
C09K11/59 (EP,KR) 
H01L27/2463 (US) 
H01L29/127 (EP,US) 
H01L29/16 (EP) 
H01L29/34 (EP,US) 
H01L29/66439 (EP,US) 
H01L29/66977 (US) 
H01L29/7613 (EP,US) 
H01L45/10 (US) 
H01L49/006 (US) 
B82Y10/00 (US) 
B82Y20/00 (KR) 
B82Y30/00 (KR,US) 
H01L29/66977 (EP) 
Y10S977/754 (US) 
Y10S977/933 (US) 
Y10S977/937 (US)";"2018-01-25 
2018-03-01";2018-01-25;060993168
304;SYSTEMS AND METHODS FOR FABRICATION OF SUPERCONDUCTING INTEGRATED CIRCUITS;"LADIZINSKY ERIC [US] 
ROSE GEORDIE [CA] 
HILTON JEREMY P [CA] 
DANTSKER EUGENE [US] 
OH BYONG HYOP [US]";DWAVE SYS INC [CA];"EP2401776A2 
EP2401776A4 
EP2401776B1";2009-02-25;"H01L27/18 
H01L39/22 
H01L39/24";"B82Y10/00 (EP,CN,US) 
G06N10/00 (EP,CN,US) 
H01L27/18 (EP,CN,US) 
H01L28/24 (EP,US) 
H01L39/025 (US) 
H01L39/223 (EP,CN,US) 
H01L39/2406 (US) 
H01L39/2493 (EP,CN,US) 
Y10S977/707 (EP,US) 
Y10S977/723 (EP,US) 
Y10S977/943 (EP,US)";"2012-01-04 
2013-08-07 
2016-08-10";2010-09-02;042666211
305;Multi-round key encapsulation process;"YAMADA ATSUSHI [CA] 
EATON EDWARD WILLIAM [CA]";ISARA CORP [CA];US10404458B1;2017-11-17;"H04L29/06 
H04L9/06 
H04L9/08 
H04L9/30";"H04L63/0428 (US) 
H04L9/0631 (US) 
H04L9/0656 (EP,US) 
H04L9/0852 (EP) 
H04L9/0869 (US) 
H04L9/302 (US) 
H04L9/304 (US) 
H04L9/3073 (US) 
H04L2209/24 (US)";2019-09-03;2019-09-03;067770069
306;SYSTEMS AND METHODS FOR SOLVING COMPUTATIONAL PROBLEMS;"MACREADY WILLIAM [CA] 
ROSE GEORDIE [CA] 
MAHON THOMAS [CA] 
LOVE PETER [US] 
DREW-BROOK MARSHALL [CA]";"DWAVE SYS INC [CA] 
MACREADY WILLIAM [CA] 
ROSE GEORDIE [CA] 
MAHON THOMAS [CA] 
LOVE PETER [US] 
DREW-BROOK MARSHALL [CA]";"WO2010148120A2 
WO2010148120A3";2009-06-17;"G06F17/00 
G06F9/305";"B82Y10/00 (EP,US) 
G06F17/11 (US) 
G06F30/327 (US) 
G06N10/00 (EP,US)";"2010-12-23 
2011-03-31";2010-12-23;043357033
307;USING NOISE TO SPEED CONVERGENCE OF SIMULATED ANNEALING AND MARKOV MONTE CARLO ESTIMATIONS;"FRANZKE BRANDON [CA] 
KOSKO BART [US] 
FRANZKE BRANDON [US]";UNIV SOUTHERN CALIFORNIA [US];"US11276009B2 
US2020090071A1";2015-08-07;"G06F17/18 
G06N10/00 
G06N7/00";"G06F17/18 (US) 
G06F7/588 (EP) 
G06N10/00 (US) 
G06N7/005 (EP,US) 
H04L9/0852 (EP)";"2020-03-19 
2022-03-15";2017-04-27;058557874
308;SYSTEMS AND METHODS FOR MACHINE LEARNING USING ADIABATIC QUANTUM COMPUTERS;"ROLFE JASON [CA] 
KORENKEVYCH DMYTRO [CA] 
RANJBAR MANI [CA] 
RAYMOND JACK R [CA] 
MACREADY WILLIAM G [CA]";D-WAVE SYSTEMS INC [CA];WO2017031357A1;2015-08-19;G06N99/00;"G06F15/80 (US) 
G06F17/18 (US) 
G06N10/00 (EP,US) 
G06N20/00 (US) 
G06N3/0445 (EP) 
G06N3/0454 (EP) 
G06N3/0472 (EP) 
G06N3/08 (EP,US) 
G06N5/046 (US) 
G06T1/20 (US)";2017-02-23;2017-02-23;058050986
309;RECOGNITION SYSTEM USING MULTIMODALITY DATASET;"COUSE JOHN M [CA] 
NEJAD EMAN M [CA] 
COUSE JASON B [CA]";SPXTRM HEALTH INC [CA];"US11216704B2 
US2020125902A1";2018-10-23;"G06K9/00 
G06K9/62 
G06N3/04 
G06N3/08 
G06T11/20 
G06T7/246";"G06K9/6256 (US) 
G06K9/6274 (EP) 
G06K9/6289 (US) 
G06N20/00 (EP) 
G06N3/04 (US) 
G06N3/08 (US) 
G06T11/00 (EP) 
G06T11/206 (US) 
G06T7/246 (EP,US) 
G06V10/44 (EP) 
G06V10/82 (EP) 
G06V20/46 (US) 
G06V40/174 (EP) 
G06V40/23 (EP,US) 
G06T2207/10016 (US) 
G06T2207/20081 (EP,US) 
G06T2207/20084 (EP) 
G06T2207/30196 (EP,US)";"2020-04-23 
2022-01-04";2020-04-23;070279597
310;QUANTUM PROCESSOR, AND METHOD OF QUANTUM PROCESSING;"BLAIS ALEXANDRE [CA] 
PURI SHRUTI [CA] 
GRIMSMO ARNE L [AU] 
KRAGLUND ANDERSEN CHRISTIAN [CH]";SOCPRA SCIENCES ET GENIE SEC [CA];CA2968830A1;2017-05-29;;"G06N10/00 (EP,US) 
G06N5/003 (EP,US) 
H03B17/00 (EP,US) 
H03F19/00 (US) 
H03B2200/0044 (EP,US) 
H03F2200/336 (US)";2018-11-29;2018-11-29;064401692
311;SYSTEMS AND METHODS FOR SOLVING COMPUTATIONAL PROBLEMS;"MACREADY WILLIAM [CA] 
ROSE GEORDIE [CA] 
MAHON THOMAS [CA] 
LOVE PETER [US] 
DREW-BROOK MARSHALL [CA]";DWAVE SYS INC [CA];"US2013144925A1 
US9026574B2";2011-11-15;"G06F17/10 
B82Y10/00 
G06F17/00 
G06F17/11 
G06G7/32 
G06N5/00 
G06N99/00";"B82Y10/00 (EP,US) 
G06F17/10 (US) 
G06F17/11 (EP,US) 
G06N10/00 (EP,US)";"2013-06-06 
2015-05-05";2013-06-06;048524789
312;SYSTEMS, METHODS AND APPARATUS FOR DIGITAL-TO-ANALOG CONVERSION OF SUPERCONDUCTING MAGNETIC FLUX SIGNALS;"BUNYK PAUL I [CA] 
MAIBAUM FELIX [CA] 
BERKLEY ANDREW J [CA] 
MAHON THOMAS [CA]";"BUNYK PAUL I [CA] 
MAIBAUM FELIX [CA] 
BERKLEY ANDREW J [CA] 
MAHON THOMAS [CA] 
DWAVE SYS INC [CA]";"US2009082209A1 
US8098179B2";2007-05-14;"H01L39/14 
H03M1/66 
H03M1/78 
G06N99/00 
H03M1/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H03M1/66 (EP,US)";"2009-03-26 
2012-01-17";2008-11-20;040001655
313;ONE-TO-MANY SYMMETRIC CRYPTOGRAPHIC SYSTEM AND METHOD;"HENDERSON GLEN ARTHUR [CA] 
NORDIN BRENT ERIC [CA] 
SEGUIN DANIEL MARCEL JOSEPH [CA] 
SRIVASTAVA PRATEEK [CA] 
CURRY IAN HUGH [CA]";CORD3 INNOVATION INC [CA];"US10686598B2 
US2018248692A1 
US2020177378A9";2017-02-27;"H04L9/08 
H04L9/14 
H04L9/32 
G06F21/60 
H04L29/00 
H04L29/06";"G06F21/602 (EP,US) 
G09C1/00 (EP,US) 
H04L63/0435 (EP,US) 
H04L63/10 (US) 
H04L9/0861 (EP,US) 
H04L9/0869 (EP,US) 
H04L9/088 (EP,US) 
H04L9/0891 (US) 
H04L9/14 (US) 
H04L9/3213 (US) 
H04L2209/04 (EP,US) 
H04L9/0618 (EP,US)";"2018-08-30 
2020-06-04 
2020-06-16";2018-08-30;063246584
